ID,ISBN,Автор,Авторы,В базе,В закладки,Возраст,Год,Издательство,Код,Название,Не понравилось,Обложка,Описание,Переводчик,Переплёт,Понравилось,Производитель,Размеры,Рейтинг,Серия,Страниц,Тематика,Тираж,Формат,Цена
2662718,978-5-699-66363-7,Емец Дмитрий Александрович,,Э.ШНыр.Муравьиный лабиринт,60,12+,2013,Эксмо,978574,Муравьиный лабиринт,4,/files/1836/23/29/81/0.jpg,"Когда Зеленому Лабиринту, сердцу Школы Ныряльщиков, что-то угрожает, он непостижимо изменяется и выбирает себе хранителя. Отныне только этот страж способен отыскать проход к главному артефакту ШНыра. Гай, предводитель ведьмарей, нашел способ одержать окончательную победу над шнырами. Все, что нужно для осуществления его плана, — получить один из цветов Зеленого Лабиринта и золотую пчелу. Причем владелец должен отдать пчелу добровольно. Но самое главное: необходимо захватить хранителя, кем бы он ни был.",,твердый,114,,"13,00 см x 20,50 см x 2,50 см",96.61,Школа ныряльщиков (ШНыр),351,Для среднего школьного возраста,10000,206.00mm x 133.00mm x 28.00mm,
3208612,978-5-699-66193-0,Роллинс Джеймс ,,Э.Покет.Черный орден,18,16+,2013,Эксмо,979963,Черный орден,0,/files/1836/23/30/70/9.jpg,,,мягкий,32,,"11,30 см x 18,00 см x 2,30 см",100.0,Pocket book,542,Зарубежная,5000,180.00mm x 115.00mm x 21.00mm,
3210357,978-5-699-66303-3,Емец Дмитрий Александрович,,Э.ФКШ.Мутантики.Королева мутантиков.Сокр.мутантико,4,6+,2013,Эксмо,978363,Мутантики. Королева мутантиков. Сокровища мутантиков: повести,0,/files/1836/23/29/97/6.jpg,"МУТАНТИКИ
Близится Ночь Определения Камня, когда луна отдает ему свою силу и магию. Завтра решится: будет камень служить злу или добру, баланс мировых сил сместится в пользу Хаоса или в пользу Света... Последние годы преимущество было на стороне Хаоса, поэтому злобные реакторные карлики процветали, а народам лобастиков и шерстюш приходилось туго. Но все изменится, если завтра в полнолуние Магический Кристалл окажется в добрых руках. И несколько мутантиков осмелились похитить кристалл у злой королевы, Рыжей Карлы!
КОРОЛЕВА МУТАНТИКОВ
Нелегко живется миролюбивым шерстюшам и лобастикам по соседству со злобными реакторными карликами. Рыжая Карла, королева карликов, вознамерилась поработить всю Страну Мутантиков. Скоро состоится новый завоевательный поход. Но сначала Карла отомстит Пупырю и его семейке - своим злейшим врагам, не раз срывавшим ее коварные планы. И рыжая королева похищает Трюшу, единственную дочь Пупыря и Мумуни...
СОКРОВИЩА МУТАНТИКОВ
Пусть Остров Сломанной Мечты находится очень далеко от Мутатерритории - это не остановит Рыжую Карлу! Она должна отыскать сокровища Черного пирата и завладеть Волшебным Мечом, который дает власть и силу. Узнав о планах злой королевы, шерстюши и лобастики решили отправиться следом за своими врагами и лишь в конце пути вырваться вперед и перехватить Меч-кладенец у Карлы из-под носа. Разумеется, план был авантюрный и в нем имелось много уязвимых мест. Вскоре друзьям пришлось в этом убедиться...",,твердый,1,,"21,50 см x 17,00 см x 3,00 см",57.14,Фантастическая коллекция для школьников,576,Для младшего школьного возраста,4000,70х90/16,
3210519,978-5-367-02434-0,Фрай Макс ,,"Амф. ХЕ Фрай Дар Шаванахолы. История, рассказанная сэром Максом из Эхо (м)",21,16+,2013,Амфора,981194,"Дар Шаванахолы: История, рассказанная сэром Максом из Эхо : повесть",1,/files/1836/23/31/07/1.jpg,"Перед вами новая история, рассказанная, вопреки ожиданиям, не одним из гостей ""Кофейной гущи"", а самим сэром Максом, которому, в отличии от читателей этой книги, было нечего почитать перед сном. Иногда отсутствие хорошего детектива под подушкой приводит к невероятным последствиям.",,мягкий,99,,"11,70 см x 18,00 см x 2,70 см",99.0,Хроники Ехо,448,Отечественная,7000,180.00mm x 116.00mm x 26.00mm,
3211510,978-5-699-67398-8,Донцова Дарья Аркадьевна,,Э.ИД(м).Огнетушитель Прометея,17,16+,2014,Эксмо,982032,Огнетушитель Прометея : роман,14,/files/1836/25/03/54/6.jpeg,"Я, Евлампия Романова, неожиданно для себя стала... мамой сразу двух очаровательных детишек! Ох, и намучилась я, пока нашла им ""Мэри Поппинс""! Не без заскоков, конечно, дамочка, но другую няню искать некогда - на повестке дня новое расследование! Моя соседка Валя Веснина заподозрила, что ее мать скончалась вовсе не от кори. Как выяснилось, детская болезнь и правда ни при чем, а семья Весниных - просто чемпионы мира по вранью! Внешне все чинно-благородно, а на деле родители соседки наперегонки изменяли друг другу. Валина младшая сестра Лариса тоже хороша - с виду девочка-незабудка, а cама два года назад попала в сомнительный переплет и едва не погибла... И вот теперь кто-то звонит Ларисе на сотовый и заявляет: ""Ты убила свою мать!""",,мягкий,19,,"10,75 см x 16,50 см x 1,50 см",57.58,Иронический детектив,352,Отечественные,120000,165.00mm x 105.00mm x 16.00mm,
3213322,978-5-699-65633-2,Донцова Дарья Аркадьевна,,Э.ИД.Толстушка под прикрытием,10,16+,2013,Эксмо,984105,Толстушка под прикрытием : роман,3,/files/1836/23/32/18/0.jpg,"Наконец-то у Татьяны Сергеевой появился реальный шанс похудеть! Она стала финалисткой конкурса ""Убей лишний вес"", устраиваемого журналом ""Дом солнца"", и удостоилась чести опробовать на себе супердиету доктора Орнели. Он вручил Таню-ше банки с чудо-порошком, и теперь ей предстоит лакомиться им на завтрак, обед и ужин. Вдобавок диетолог якобы вживил Тане чип, с помощью которого он сможет следить, правильно ли она принимает его зелье!.. Но почему Татьяна, начальник спецбригады по расследованию преступлений, согласилась участвовать в этом цирке? Как выяснилось, пропала Лора, сердечная подруга ее шефа. Незадолго до исчезновения незнакомая девушка всучила Лоре странный подарок - статуэтку Венеры Милосской в современном прикиде. Именно такую получит победительница конкурса ""Убей лишний вес""!",,твердый,26,,"12,00 см x 19,60 см x 2,50 см",89.66,Иронический детектив,352,Отечественные,250000,196.00mm x 120.00mm x 21.00mm,
3214492,978-5-699-67299-8,Донцова Дарья Аркадьевна,,Э.ДиД.(м).Нежный супруг олигарха.Фигура легкого эп,5,16+,2013,Эксмо,984346,Нежный супруг олигарха. Фигура легкого эпатажа: романы,2,/files/1836/23/32/42/3.jpg,"Нежный супруг олигарха
Вот так фишка - украли фишку! Прямо из дома! И получается, что я, Евлампия Романова, сама навела грабителя на квартиру. Ну, раз виновата, мне и отвечать, надо отыскать старинную фишку из казино, ведь она для подруги Кати - память о дедушке. Я всего лишь по одному волоску, оставшемуся на бейсболке, потерянной воришкой, установила имя девушки, надевавшей этот кепарик! Только как же так? Наташа Фомина, оказывается, умерла два года
назад!
Фигура легкого эпатажа
Хочешь сделать как лучше, а получается... Ужасная история! Я, частный детектив Евлампия Романова, согласилась помочь клиентке, сыграть роль племянницы профессора Антонова, и вляпалась в кошмарную ситуацию. Меня обвинили в убийстве! Дамочка-заказчица, конечно, хитра, однако и Лампа не лыком шита. Я и бесплатно выясню, откуда в этом деле ноги растут...",,мягкий,7,,"10,50 см x 16,50 см x 3,20 см",66.67,Двойной иронический детектив,608,Отечественные,10000,164.00mm x 107.00mm x 34.00mm,
3215136,978-5-699-67254-7,Емец Дмитрий Александрович,,Э.ФКШ.Планета Чер.Императора.Месть мертвого Импера,41,12+,2013,Эксмо,984113,Планета Черного Императора. Месть мертвого Императора. Повелители галактик: повести,0,/files/1836/23/32/46/0.jpg,"""Планета Черного Императора""
Началась эта история с того, что Ира Матвеева выиграла странный компьютер. А в нем - программа уничтожения нашей планеты! И остановить ее невозможно! Иркин друг Костик такую ""игру"" видел впервые. К тому же настораживал таймер, неумолимо отщелкивающий время до катастрофы. Немного испугавшись, ребята решили остановить отсчет. Они не представляли, что именно им придется для этого сделать и с каким врагом столкнуться...
""Месть мертвого Императора""
Сережа давно мечтал о компьютере - и вот он стоит у него на столе. Однако компьютер какой-то необычный... Он предлагает Сереже уничтожить Землю, и тот, считая все игрой, запускает программу, отменить которую невозможно. Свершилась воля покойного Галактического Императора: Земле остается всего триста часов до завоевания. База киборгов-убийц, вызванных компьютером, уже в Солнечной системе. Как их остановить простому мальчишке?
""Повелители галактик""
""И зачем только мы высадились на этот астероид?.."" - сокрушенно размышлял юный космонавт Митрофан. Обнаруженный его семьей корабль инопланетян пролежал здесь много миллионов лет. Но это не помешало туманникам - грозным и загадочным космическим пришельцам - захватить звездолет ""Кашалот"". Теперь Митрофан, его брат Пельмень и сестра Дискетка должны сразиться с коварными пришельцами. Ведь настоящие повелители галактик не боятся ничего на свете!",,твердый,0,,"21,50 см x 17,00 см x 3,00 см",50.0,Фантастическая коллекция для школьников,576,Для среднего школьного возраста,4000,215.00mm x 170.00mm x 33.00mm,
3215296,978-5-699-67204-2,Роллинс Джеймс ,,Э.Покет.Ключ Судного дня,8,16+,2013,Эксмо,985767,Ключ Судного дня,2,/files/1836/23/33/17/9.jpg,"В Риме в соборе Святого Петра погибает от взрыва археолог из Ватикана. Перед смертью он успевает спрятать среди реликвий собора древний кожаный мешочек, в котором, как он надеется, заключено спасение человечества...
В лаборатории Принстонского университета убит известный ученый-генетик…
В Африке в лагере Красного Креста застрелен сын американского сенатора...
Три убийства на трех континентах, и все три жертвы помечены выжженным на их плоти древним друидическим крестом. Коммандеру Грею Пирсону и его соратникам из спецотряда ""Сигма"" предстоит выяснить, что связывало этих людей, и попытаться спасти человечество от приближающегося Армагеддона.",,мягкий,8,,"11,50 см x 18,00 см x 2,50 см",80.0,Pocket book,640,Зарубежные,4000,76х100/32,
3215316,978-5-699-57910-5,Роллинс Джеймс ,,Э.Роллинс(м).Печать Иуды,7,16+,2014,Эксмо,894970,Печать Иуды,0,/files/1836/25/18/32/0.jpeg,"Из глубин Индийского океана поднимается ужасная чума, грозящая уничтожить человечество. Природа этой смертельной болезни неизвестна, ее распространение невозможно остановить.
Двое ученых из секретного отряда «Сигма» — Лиза Каммингс и Монк Коккалис — направлены в Индонезию, чтобы выяснить причины зловещей эпидемии.
Каким-то непонятным образом в Тайном архиве Ватикана появляется на полу знак ордена дракона — страшной секты, недавно уничтоженной отрядом «Сигма». Под знаком высечена надпись, сделанная на древнейшем языке на земле — языке ангелов.
Хранитель архива понимает, что в этой надписи может быть зашифровано средство спасения человечества.",,мягкий,28,,"11,00 см x 16,50 см x 2,90 см",100.0,Весь Роллинс,768,Зарубежная,5000,164.00mm x 114.00mm x 32.00mm,
3216738,978-5-699-67440-4,Емец Дмитрий Александрович,,Э.ВесКан.Галактический зверинец,1,12+,2013,Эксмо,986483,Галактический зверинец : повесть,0,/files/1836/23/33/38/2.jpg,"Из далеких глубин космоса прилетает на Землю настоящий робот-сыщик по имени Суп. Его миссия проста и одновременно невероятно трудна для выполнения - роботу-сыщику нужно выследить космического вора, похищающего... редких животных из земного зоопарка! На помощь Супу приходят ребята - Юра и его сестренка Лена. И вот след коварных преступников приводит робота-сыщика и его помощников туда, где стоит неведомый космический корабль, который готовится к старту...",,твердый,5,,"21,50 см x 14,50 см x 2,00 см",72.73,,288,Для среднего школьного возраста,4000,215.00mm x 146.00mm x 25.00mm,
