,vendor_id,city_name,specialisation,successful_orders,fail_orders,reorders,dolya,id_x,model_score_x,id_y,model_score_y
509,7821,Самара,Пицца,40.0,1.0,0.0,0.024390243902439025,7821,0.984060395043343,7821,0.984060395043343
510,8491,Самара,Паста и ризотто,38.0,0.0,0.0,0.0,8491,0.242990505881608,8491,0.242990505881608
511,20935,Самара,Пицца,1298.0,63.0,44.0,0.044839857651245554,20935,0.10416463203728199,20935,0.10416463203728199
512,3586,Самара,Пицца,130.0,0.0,3.0,0.0,3586,0.31776081258431105,3586,0.31776081258431105
513,35493,Самара,Суши,69.0,2.0,1.0,0.027777777777777776,35493,0.15857057878747596,35493,0.15857057878747596
514,28572,Самара,Шашлыки,1.0,1.0,2.0,0.25,28572,0.0688778660260141,28572,0.0688778660260141
515,30425,Самара,Пицца,135.0,1.0,1.0,0.0072992700729927005,30425,0.28629124769941,30425,0.28629124769941
516,12235,Самара,Суши,779.0,32.0,51.0,0.037122969837587005,12235,0.204045299440622,12235,0.204045299440622
517,19345,Самара,Паста и ризотто,11.0,0.0,0.0,0.0,19345,0.5358555833809079,19345,0.5358555833809079
518,19140,Самара,Суши,117.0,0.0,0.0,0.0,19140,0.502697803080082,19140,0.502697803080082
519,8781,Самара,Суши,91.0,3.0,0.0,0.031914893617021274,8781,0.974673073738813,8781,0.974673073738813
520,28986,Самара,Шаурма,93.0,1.0,1.0,0.010526315789473684,28986,0.396554234437644,28986,0.396554234437644
521,24049,Санкт-Петербург,Мясо,1.0,0.0,1.0,0.0,24049,0.7693472658284009,24049,0.7693472658284009
522,23169,Санкт-Петербург,Пироги,34.0,0.0,0.0,0.0,23169,0.878856021445245,23169,0.878856021445245
523,20947,Санкт-Петербург,Суши,77.0,0.0,1.0,0.0,20947,0.19745263131335397,20947,0.19745263131335397
524,5044,Санкт-Петербург,Суши,2.0,0.0,0.0,0.0,5044,0.904025668278337,5044,0.904025668278337
525,23117,Санкт-Петербург,Суши,1257.0,6.0,17.0,0.0046875,23117,0.8528883447870609,23117,0.8528883447870609
526,25285,Санкт-Петербург,Шаурма,2.0,1.0,1.0,0.25,25285,0.894630272407085,25285,0.894630272407085
527,18119,Санкт-Петербург,Суши,4.0,1.0,0.0,0.2,18119,0.513879406265914,18119,0.513879406265914
528,8810,Санкт-Петербург,Суши,328.0,16.0,4.0,0.04597701149425287,8810,0.633565197233111,8810,0.633565197233111
529,28847,Санкт-Петербург,Мясо,7.0,1.0,4.0,0.08333333333333333,28847,0.407559453509748,28847,0.407559453509748
530,36443,Санкт-Петербург,Бургеры,111.0,2.0,8.0,0.01652892561983471,36443,0.43336512148380296,36443,0.43336512148380296
531,21346,Санкт-Петербург,Пицца,50.0,0.0,0.0,0.0,21346,0.6621717554517089,21346,0.6621717554517089
532,31957,Санкт-Петербург,Вегетарианское меню,12.0,7.0,4.0,0.30434782608695654,31957,0.159945655148476,31957,0.159945655148476
533,16083,Санкт-Петербург,Пироги,11.0,0.0,0.0,0.0,16083,0.9310431005433198,16083,0.9310431005433198
534,13287,Санкт-Петербург,Суши,36.0,8.0,9.0,0.1509433962264151,13287,0.9696568143554029,13287,0.9696568143554029
535,31767,Саратов,Рыба,179.0,2.0,2.0,0.01092896174863388,31767,0.0127486423589289,31767,0.0127486423589289
536,16318,Саратов,Пицца,206.0,2.0,2.0,0.009523809523809525,16318,0.7061925600282851,16318,0.7061925600282851
537,25491,Саратов,Шашлыки,72.0,0.0,0.0,0.0,25491,0.38489960599690703,25491,0.38489960599690703
538,25138,Саратов,Суши,193.0,4.0,1.0,0.020202020202020204,25138,0.920386979356408,25138,0.920386979356408
539,29341,Саратов,Суши,331.0,1.0,0.0,0.0030120481927710845,29341,0.0215020305477083,29341,0.0215020305477083
540,36930,Саратов,Бургеры,386.0,2.0,3.0,0.005115089514066497,36930,0.240476611535996,36930,0.240476611535996
541,36051,Саратов,Бургеры,58.0,1.0,0.0,0.01694915254237288,36051,0.32058797311037796,36051,0.32058797311037796
542,14404,Саратов,Выпечка,24.0,1.0,0.0,0.04,14404,0.447712009306997,14404,0.447712009306997
543,5469,Саратов,Суши,617.0,28.0,26.0,0.041728763040238454,5469,0.482954714912921,5469,0.482954714912921
544,34835,Саратов,Суши,203.0,4.0,5.0,0.018867924528301886,34835,0.59831654978916,34835,0.59831654978916
545,35791,Саратов,Суши,82.0,0.0,0.0,0.0,35791,0.173897517379373,35791,0.173897517379373
546,20223,Саратов,Пицца,299.0,13.0,12.0,0.040123456790123455,20223,0.707963870838284,20223,0.707963870838284
547,37703,Саратов,Суши,4.0,1.0,0.0,0.2,37703,0.366143935825676,37703,0.366143935825676
548,34681,Саратов,Суши,71.0,0.0,1.0,0.0,34681,0.85809773998335,34681,0.85809773998335
